Pathway	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs
REACTOME_RNA_POL_II_CTD_PHOSPHORYLATION_AND_INTERACTION_WITH_CE	0.011	0.037	0.05	0.124	0.019	0.003
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.029	0.915	0.059	0.523	0.223	0.008
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.014	0.725	0.033	0.279	0.102	0.01
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.807	0.122	0.221	0.122	0.034	0.016
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	0.594	0.869	0.68	0.119	0.406	0.012
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.203	0.402	0.099	0.259	0.021	0.966
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.006	0.334	0.002	0.169	0.022	0.457
REACTOME_SEMAPHORIN_INTERACTIONS	0.039	0.742	0.003	0.114	0.011	0.381
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.766	0.933	0.994	0.98	0.973	0.911
REACTOME_SEROTONIN_RECEPTORS	0.931	0.315	0.871	0.409	0.852	1
REACTOME_SHCMEDIATED_CASCADE	0.91	0.826	0.996	0.329	0.032	1
REACTOME_SHC_MEDIATED_SIGNALLING	0.014	0.037	0.023	0.052	0.041	0.399
REACTOME_SHC_RELATED_EVENTS	0.008	0.029	0.065	0.015	0.059	0.38
REACTOME_SIGNALING_BY_BMP	0.002	0.2	0.004	0.323	0.064	0.998
REACTOME_SIGNALING_BY_EGFR	0.017	0.158	0.001	0.066	0.028	0.118
REACTOME_SIGNALING_BY_NOTCH	0.133	0.03	0.829	0.023	0.056	1
REACTOME_SIGNALING_BY_PDGF	0.004	0.312	0.063	0.691	0.016	0.027
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.035	0.895	0.131	0.391	0.041	0.472
REACTOME_SIGNALING_BY_TGF_BETA	0.035	0.197	0.001	0.242	0.203	0.487
REACTOME_SIGNALING_BY_VEGF	0.673	0.77	0.933	0.868	0.022	1
REACTOME_SIGNALING_BY_WNT	0.021	0.718	0.075	0.447	0.028	0.022
REACTOME_SIGNALING_IN_IMMUNE_SYSTEM	0.001	0.059	0.001	0.122	0.027	0.037
REACTOME_SIGNALLING_BY_NGF	0.005	0.023	0.002	0.01	0.015	0.032
REACTOME_SIGNALLING_TO_ERKS	0.04	0.045	0.047	0.084	0.042	0.06
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	0.033	0.018	0.141	0.001	0.032	0.991
REACTOME_SIGNALLING_TO_RAS	0.162	0.041	0.501	0.043	0.027	0.161
REACTOME_SIGNAL_AMPLIFICATION	0.035	0.388	0.088	0.142	0.028	0.006
REACTOME_SIGNAL_ATTENUATION	0.727	0.031	0.408	0.056	0.143	0.997
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.16	0.013	0.021	0.033	0.077	0.019
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.637	0.578	0.975	0.16	0.982	0.28
REACTOME_SNRNP_ASSEMBLY	0.001	0.992	0.003	0.958	0.027	0.185
REACTOME_SOS_MEDIATED_SIGNALLING	0.003	0.039	0.034	0.109	0.042	0.31
REACTOME_SPHINGOLIPID_METABOLISM	0.261	0.46	0.021	0.176	0.071	0.99
REACTOME_STABILIZATION_OF_P53	0.059	0.554	0.056	0.386	0.106	0.034
REACTOME_STEROID_HORMONES	0.235	0.557	0.837	0.439	0.993	1
REACTOME_STEROID_HORMONE_BIOSYNTHESIS	0.056	0.534	0.846	0.26	0.999	1
REACTOME_STEROID_METABOLISM	0.023	0.039	0.182	0.006	0.533	0.01
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.207	0.601	0.005	0.049	0.112	1
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.013	0.198	0.02	0.105	1	0.342
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.937	0.84	0.965	0.172	1	0.207
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.585	0.539	0.937	0.059	0.121	0.993
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.046	0.141	0.53	0.286	1	0.767
REACTOME_SYNTHESIS_OF_DNA	0.002	0.161	0.001	0.156	0.016	0.341
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL	0.674	0.731	0.887	0.721	0.582	1
REACTOME_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.859	0.903	0.549	0.06	0.035	0.98
REACTOME_S_PHASE	0.001	0.169	0.001	0.365	0.012	0.062
REACTOME_TAT_MEDIATED_HIV1_ELONGATION_ARREST_AND_RECOVERY	0.06	0.132	0.002	0.207	0.023	0.582
REACTOME_TCR_SIGNALING	0.024	0.751	0.005	0.464	0.021	0.108
REACTOME_TELOMERE_MAINTENANCE	0.002	0.057	0.001	0.098	0.12	0.198
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	0.009	0.113	0.012	0.081	0.028	1
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS	0.018	0.848	0.021	0.093	0.032	0.421
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.032	0.305	0.023	0.039	0.031	0.121
REACTOME_TIE2_SIGNALING	0.106	0.033	0.549	0.011	0.145	0.603
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.748	0.911	0.102	0.002	0.845	1
REACTOME_TOLL_LIKE_RECEPTOR_3_CASCADE	0.008	0.21	0.005	0.612	0.029	0.013
REACTOME_TOLL_LIKE_RECEPTOR_4_CASCADE	0.322	0.064	0.098	0.025	0.094	0.292
REACTOME_TOLL_LIKE_RECEPTOR_9_CASCADE	0.118	0.108	0.041	0.03	0.34	0.006
REACTOME_TOLL_RECEPTOR_CASCADES	0.001	0.076	0.002	0.253	0.025	0.005
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN_ALPHA_BETA_CASCADE	0.005	0.211	0.001	0.277	0.025	0.006
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	0.358	0.041	0.647	0.083	0.624	0.002
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.305	0.003	0.647	0.009	0.005	0.001
REACTOME_TRANSCRIPTION	0.001	0.175	0.001	0.04	0.014	0.09
REACTOME_TRANSCRIPTION_COUPLED_NER	0.067	0.181	0.004	0.068	0.027	0.969
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	0.014	0.473	0.022	0.443	0.021	0.195
REACTOME_TRANSFORMATION_OF_LANOSTEROL_TO_CHOLESTEROL	0.042	0.107	0.02	0.043	0.749	1
REACTOME_TRANSLATION	0.002	0.946	0.001	0.143	0.026	0.027
REACTOME_TRANSLATION_INITIATION_COMPLEX_FORMATION	0.002	0.752	0.001	0.328	0.033	0.999
REACTOME_TRANSLOCATION_OF_ZAP70_TO_IMMUNOLOGICAL_SYNAPSE	0.366	0.843	0.033	0.449	0.032	0.975
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.022	0.015	0.006	0.032	0.054	0.042
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.004	0.024	0.002	0.085	0.093	0.014
REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRON_CONTAINING_TRANSCRIPT	0.002	0.999	0.002	0.892	0.025	0.854
REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	0.125	0.984	0.004	0.929	0.044	1
REACTOME_TRANSPORT_OF_THE_SLBP_INDEPENDENT_MATURE_MRNA	0.008	0.932	0.002	0.919	0.034	0.998
REACTOME_TRIACYLGLYCERIDE_BIOSYNTHESIS	0.001	0.006	0.001	0.029	0.139	0.988
REACTOME_TRKA_SIGNALLING_FROM_THE_PLASMA_MEMBRANE	0.006	0.103	0.003	0.073	0.027	0.041
REACTOME_TRNA_AMINOACYLATION	0.011	0.208	0.038	0.124	0.024	0.24
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.005	0.007	0.049	0.288	0.613	0.999
REACTOME_UNWINDING_OF_DNA	0.155	0.352	0.997	0.074	0.037	1
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.129	0.239	0.019	0.237	0.027	0.021
REACTOME_VIRAL_DSRNA_TLR3_TRIF_COMPLEX_ACTIVATES_RIP1	0.002	0.865	0.034	0.691	0.012	0.984
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.019	0.053	0.012	0.169	0.085	0.017
REACTOME_VIRAL_MRNA_TRANSLATION	0.001	0.898	0.001	0.068	0.177	0.981
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.493	0.475	0.938	0.028	0.92	1
REACTOME_VPR_MEDIATED_NUCLEAR_IMPORT_OF_PICS	0.03	0.924	0.002	0.891	0.026	0.985
REACTOME_XENOBIOTICS	0.536	0.129	0.959	0.267	0.999	0.892
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENES_FAMILY	1	0.948	0.715	0.977	0.972	0.228
REACTOME_ZINC_TRANSPORTATION	0.991	0.991	0.996	0.036	1	0.264
SA_B_CELL_RECEPTOR_COMPLEXES	0.088	0.005	0.033	0.228	0.025	0.021
SA_CASPASE_CASCADE	0.589	0.941	0.933	0.267	0.631	0.993
SA_FAS_SIGNALING	0.786	0.203	0.001	0.372	0.567	0.154
SA_G1_AND_S_PHASES	0.003	0.03	0.113	0.056	0.005	1
SA_G2_AND_M_PHASES	0.003	0.01	0.003	0.048	0.001	1
SA_MMP_CYTOKINE_CONNECTION	0.939	0.026	0.873	0.018	0.38	0.021
SA_PROGRAMMED_CELL_DEATH	0.045	0.398	0.211	0.171	0.295	0.998
SA_PTEN_PATHWAY	0.065	0.302	0.13	0.031	0.078	0.916
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.009	0.515	0.967	0.316	0.539	0.701
SA_TRKA_RECEPTOR	0.507	0.582	0.849	0.341	0.276	0.128
SIG_BCR_SIGNALING_PATHWAY	0.015	0.103	0.05	0.049	0.035	0.051
SIG_CD40PATHWAYMAP	0.051	0.277	0.018	0.222	0.036	1
SIG_CHEMOTAXIS	0.002	0.291	0.003	0.121	0.026	0.087
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.001	0.302	0.002	0.388	0.063	0.146
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.001	0.61	0.044	0.097	0.029	0.011
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.004	0.595	0.139	0.003	0.028	0.08
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.001	0.236	0.005	0.133	0.027	0.066
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.004	0.488	0.001	0.564	0.034	0.07
ST_ADRENERGIC	0.939	0.544	0.846	0.173	0.027	0.019
ST_B_CELL_ANTIGEN_RECEPTOR	0.004	0.021	0.026	0.212	0.028	0.464
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.001	0.216	0.041	0.291	0.035	0.081
ST_ERK1_ERK2_MAPK_PATHWAY	0.001	0.092	0.011	0.207	0.025	0.025
ST_FAS_SIGNALING_PATHWAY	0.014	0.547	0.042	0.225	0.046	0.989
ST_GA12_PATHWAY	0.242	0.005	0.506	0.017	0.032	0.406
ST_GA13_PATHWAY	0.001	0.171	0.01	0.331	0.033	0.975
ST_GAQ_PATHWAY	0.06	0.583	0.089	0.106	0.19	0.923
ST_GRANULE_CELL_SURVIVAL_PATHWAY	0.001	0.477	0.069	0.441	0.56	0.381
ST_G_ALPHA_I_PATHWAY	0.005	0.188	0.209	0.046	0.212	0.006
ST_G_ALPHA_S_PATHWAY	0.299	0.104	0.615	0.1	0.939	0.987
ST_IL_13_PATHWAY	0.29	0.496	0.015	0.2	0.159	0.999
ST_INTEGRIN_SIGNALING_PATHWAY	0.001	0.003	0.001	0.069	0.039	0.179
ST_INTERFERON_GAMMA_PATHWAY	0.153	0.055	0.926	0.113	1	0.703
ST_INTERLEUKIN_13_PATHWAY	0.788	0.496	0.012	0.252	0.234	1
ST_INTERLEUKIN_4_PATHWAY	0.146	0.385	0.041	0.12	0.038	0.081
ST_JAK_STAT_PATHWAY	0.938	0.06	0.917	0.89	0.438	0.905
ST_JNK_MAPK_PATHWAY	0.013	0.298	0.033	0.589	0.021	0.142
ST_MYOCYTE_AD_PATHWAY	0.376	0.207	0.928	0.167	0.971	0.194
ST_P38_MAPK_PATHWAY	0.001	0.579	0.001	0.522	0.033	0.15
ST_PAC1_RECEPTOR_PATHWAY	0.53	0.335	0.956	0.854	0.493	0.49
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.001	0.172	0.008	0.075	0.032	0.065
ST_STAT3_PATHWAY	0.977	0.586	0.871	0.958	0.045	0.69
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	0.016	0.067	0.022	0.776	0.163	0.996
ST_TYPE_I_INTERFERON_PATHWAY	0.824	0.645	0.882	0.819	1	0.799
ST_T_CELL_SIGNAL_TRANSDUCTION	0.014	0.437	0.019	0.255	0.034	0.022
ST_WNT_BETA_CATENIN_PATHWAY	0.009	0.147	0.035	0.037	0.241	1
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	0.001	0.529	0.055	0.14	1	0.005
Taube_EMT	0.012	0.012	0.003	0.038	0.017	0.148
WNT_SIGNALING	0.002	0.091	0.001	0.237	0.057	0.179
